date,year,month,day,supply
2/5/2007,2007,2,5,16641
2/6/2007,2007,2,6,17591
2/7/2007,2007,2,7,17911
2/8/2007,2007,2,8,18790
2/9/2007,2007,2,9,19400
2/10/2007,2007,2,10,21566
2/11/2007,2007,2,11,21786
2/12/2007,2007,2,12,22836
2/13/2007,2007,2,13,22817
2/14/2007,2007,2,14,23534
2/15/2007,2007,2,15,24261
2/16/2007,2007,2,16,23685
2/17/2007,2007,2,17,24757
2/18/2007,2007,2,18,23927
2/19/2007,2007,2,19,23021
2/20/2007,2007,2,20,24113
2/21/2007,2007,2,21,24769
2/22/2007,2007,2,22,25397
2/23/2007,2007,2,23,25198
2/24/2007,2007,2,24,27513
2/25/2007,2007,2,25,27827
2/26/2007,2007,2,26,28277
2/27/2007,2007,2,27,28629
2/28/2007,2007,2,28,27368
3/1/2007,2007,3,1,27870
3/2/2007,2007,3,2,26839
3/3/2007,2007,3,3,26194
3/4/2007,2007,3,4,25946
3/5/2007,2007,3,5,25070
3/6/2007,2007,3,6,23383
3/7/2007,2007,3,7,22104
3/8/2007,2007,3,8,21843
3/9/2007,2007,3,9,20293
3/10/2007,2007,3,10,21413
3/11/2007,2007,3,11,21604
3/12/2007,2007,3,12,20806
3/13/2007,2007,3,13,19698
3/14/2007,2007,3,14,19000
3/15/2007,2007,3,15,18629
3/16/2007,2007,3,16,17677
3/17/2007,2007,3,17,18048
3/18/2007,2007,3,18,18115
3/19/2007,2007,3,19,18021
3/20/2007,2007,3,20,18008
3/21/2007,2007,3,21,17274
3/22/2007,2007,3,22,17050
3/23/2007,2007,3,23,16608
3/24/2007,2007,3,24,18164
3/25/2007,2007,3,25,18053
3/26/2007,2007,3,26,18239
3/27/2007,2007,3,27,18235
3/28/2007,2007,3,28,18079
3/29/2007,2007,3,29,18029
