year,sex,location,source,count
2006,Men,Blood donation house,Gyeongnam,14551
2006,Men,Blood donation house,Jeju,6021
2006,Men,Blood donation house,Outside of Korean Red Cross,0
2006,Men,Blood donation bus,Korean Red Cross,101318
2006,Men,Blood donation bus,Central Seoul,7572
2006,Men,Blood donation bus,Western Seoul,13469
2006,Men,Blood donation bus,Southern Seoul,16100
2006,Men,Blood donation bus,Eastern Seoul,9802
2006,Men,Blood donation bus,Busan,9089
2006,Men,Blood donation bus,DaeguGyeongbuk,4545
2006,Men,Blood donation bus,Incheon,4046
2006,Men,Blood donation bus,Ulsan,5037
2006,Men,Blood donation bus,Gyeonggi,12807
2006,Men,Blood donation bus,Gangwon,158
2006,Men,Blood donation bus,Chungbuk,239
2006,Men,Blood donation bus,DaejeonChungnam,8293
2006,Men,Blood donation bus,Jeonbuk,100
2006,Men,Blood donation bus,Jeonnam,695
2006,Men,Blood donation bus,Gyeongnam,9021
2006,Men,Blood donation bus,Jeju,345
2006,Men,Blood donation bus,Outside of Korean Red Cross,0
2006,Women,Group Donation,Korean Red Cross,140053
2006,Women,Group Donation,Central Seoul,10778
2006,Women,Group Donation,Western Seoul,6569
2006,Women,Group Donation,Southern Seoul,6675
2006,Women,Group Donation,Eastern Seoul,13722
2006,Women,Group Donation,Busan,8825
2006,Women,Group Donation,DaeguGyeongbuk,15496
2006,Women,Group Donation,Incheon,11625
2006,Women,Group Donation,Ulsan,2765
2006,Women,Group Donation,Gyeonggi,6761
2006,Women,Group Donation,Gangwon,2236
2006,Women,Group Donation,Chungbuk,6192
2006,Women,Group Donation,DaejeonChungnam,12717
2006,Women,Group Donation,Jeonbuk,10661
2006,Women,Group Donation,Jeonnam,16210
2006,Women,Group Donation,Gyeongnam,5522
2006,Women,Group Donation,Jeju,3299
2006,Women,Group Donation,Outside of Korean Red Cross,0
2006,Women,Highschool,Korean Red Cross,85621
2006,Women,Highschool,Central Seoul,5391
2006,Women,Highschool,Western Seoul,4499
2006,Women,Highschool,Southern Seoul,2315
2006,Women,Highschool,Eastern Seoul,8033
2006,Women,Highschool,Busan,5013
2006,Women,Highschool,DaeguGyeongbuk,9532
2006,Women,Highschool,Incheon,9617
2006,Women,Highschool,Ulsan,1671
2006,Women,Highschool,Gyeonggi,3822
2006,Women,Highschool,Gangwon,1158
2006,Women,Highschool,Chungbuk,3654
2006,Women,Highschool,DaejeonChungnam,7595
2006,Women,Highschool,Jeonbuk,7514
2006,Women,Highschool,Jeonnam,11045
2006,Women,Highschool,Gyeongnam,3091
2006,Women,Highschool,Jeju,1671
2006,Women,Highschool,Outside of Korean Red Cross,0
2006,Women,University,Korean Red Cross,26891
2006,Women,University,Central Seoul,2310
2006,Women,University,Western Seoul,209
2006,Women,University,Southern Seoul,1465
2006,Women,University,Eastern Seoul,3031
2006,Women,University,Busan,1864
2006,Women,University,DaeguGyeongbuk,3201
2006,Women,University,Incheon,537
2006,Women,University,Ulsan,259
2006,Women,University,Gyeonggi,1357
2006,Women,University,Gangwon,684
2006,Women,University,Chungbuk,1874
2006,Women,University,DaejeonChungnam,3286
2006,Women,University,Jeonbuk,2363
2006,Women,University,Jeonnam,2394
2006,Women,University,Gyeongnam,1264
2006,Women,University,Jeju,793
2006,Women,University,Outside of Korean Red Cross,0
2006,Women,Military Base,Korean Red Cross,810
2006,Women,Military Base,Central Seoul,86
2006,Women,Military Base,Western Seoul,26
2006,Women,Military Base,Southern Seoul,93
2006,Women,Military Base,Eastern Seoul,71
2006,Women,Military Base,Busan,20
2006,Women,Military Base,DaeguGyeongbuk,57
2006,Women,Military Base,Incheon,37
2006,Women,Military Base,Ulsan,2
2006,Women,Military Base,Gyeonggi,27
2006,Women,Military Base,Gangwon,64
2006,Women,Military Base,Chungbuk,31
2006,Women,Military Base,DaejeonChungnam,149
2006,Women,Military Base,Jeonbuk,29
2006,Women,Military Base,Jeonnam,52
2006,Women,Military Base,Gyeongnam,63
2006,Women,Military Base,Jeju,3
2006,Women,Military Base,Outside of Korean Red Cross,0
2006,Women,Religion,Korean Red Cross,5306
2006,Women,Religion,Central Seoul,618
2006,Women,Religion,Western Seoul,476
2006,Women,Religion,Southern Seoul,763
2006,Women,Religion,Eastern Seoul,1193
2006,Women,Religion,Busan,400
2006,Women,Religion,DaeguGyeongbuk,36
2006,Women,Religion,Incheon,255
2006,Women,Religion,Ulsan,178
2006,Women,Religion,Gyeonggi,59
2006,Women,Religion,Gangwon,56
2006,Women,Religion,Chungbuk,142
2006,Women,Religion,DaejeonChungnam,368
2006,Women,Religion,Jeonbuk,143
2006,Women,Religion,Jeonnam,449
2006,Women,Religion,Gyeongnam,31
2006,Women,Religion,Jeju,139
2006,Women,Religion,Outside of Korean Red Cross,0
2006,Women,Community,Korean Red Cross,21425
2006,Women,Community,Central Seoul,2373
2006,Women,Community,Western Seoul,1359
2006,Women,Community,Southern Seoul,2039
2006,Women,Community,Eastern Seoul,1394
2006,Women,Community,Busan,1528
2006,Women,Community,DaeguGyeongbuk,2670
2006,Women,Community,Incheon,1179
2006,Women,Community,Ulsan,655
2006,Women,Community,Gyeonggi,1496
2006,Women,Community,Gangwon,274
2006,Women,Community,Chungbuk,491
2006,Women,Community,DaejeonChungnam,1319
2006,Women,Community,Jeonbuk,612
2006,Women,Community,Jeonnam,2270
